lmb,energy
0.000000000000000000e+00,3.808593750000000000e-02
1.000000000000000056e-01,3.213085937499999267e-01
2.000000000000000111e-01,6.224023437500001421e-01
2.999999999999999889e-01,9.152441406250001465e-01
4.000000000000000222e-01,1.209843750000000107e+00
5.000000000000000000e-01,1.502832031249999867e+00
5.999999999999999778e-01,1.774492187500000373e+00
6.999999999999999556e-01,1.844648437499999849e+00
8.000000000000000444e-01,1.607226562499999734e+00
9.000000000000000222e-01,1.340781249999999813e+00
1.000000000000000000e+00,1.066015625000000133e+00
