lmb,energy
0.000000000000000000e+00,0.000000000000000000e+00
1.111111111111111049e-01,3.244594997829861605e-01
2.222222222222222099e-01,6.315816243489580373e-01
3.333333333333333148e-01,9.323323567708334814e-01
4.444444444444444198e-01,9.763488769531254441e-01
5.555555555555555802e-01,5.294460720486111605e-01
6.666666666666666297e-01,8.537801106770848136e-02
7.777777777777776791e-01,-3.508572048611107164e-01
8.888888888888888395e-01,-8.594462076822910745e-01
1.000000000000000000e+00,-1.348266601562500000e+00
