v,energy
0.000000000000000000e+00,-1.016894531249999956e+00
2.000000000000000111e-01,-1.019628906250000133e+00
4.000000000000000222e-01,-1.084179687499999822e+00
5.999999999999999778e-01,-1.173437499999999911e+00
8.000000000000000444e-01,-1.285839843750000044e+00
1.000000000000000000e+00,-1.439453125000000000e+00
1.199999999999999956e+00,-1.560449218750000089e+00
1.399999999999999911e+00,-1.705761718749999822e+00
1.600000000000000089e+00,-1.870703125000000355e+00
1.800000000000000044e+00,-2.040234375000000266e+00
2.000000000000000000e+00,-2.268066406250000000e+00
