v,energy
0.000000000000000000e+00,-2.000000000000000000e+00
2.000000000000000111e-01,-2.118957055919472143e+00
4.000000000000000222e-01,-2.439344196290950784e+00
6.000000000000000888e-01,-2.896704385813541727e+00
8.000000000000000444e-01,-3.437772991976586479e+00
1.000000000000000000e+00,-4.003811621882557681e+00
1.200000000000000178e+00,-4.633888917829618315e+00
1.400000000000000133e+00,-5.278678686754246563e+00
1.600000000000000089e+00,-5.920981969789455235e+00
1.800000000000000044e+00,-6.582989528102669574e+00
2.000000000000000000e+00,-7.272408729548263118e+00
