v,energy
0.000000000000000000e+00,-2.000000000000000000e+00
2.000000000000000111e-01,-2.069659999999999833e+00
4.000000000000000222e-01,-2.297760000000000247e+00
6.000000000000000888e-01,-2.678060000000000329e+00
8.000000000000000444e-01,-3.154040000000000177e+00
1.000000000000000000e+00,-3.695500000000000007e+00
1.200000000000000178e+00,-4.263300000000000090e+00
1.400000000000000133e+00,-4.850820000000000576e+00
1.600000000000000089e+00,-5.432560000000000500e+00
1.800000000000000044e+00,-6.065339999999999954e+00
2.000000000000000000e+00,-6.719800000000000217e+00
